Id,Name,Gender,Species,Blood-Type,Eye Color,House,Wand,Patronus
1,Harry James Potter,Male,Human,Half-blood,Bright green,Gryffindor,"11""  Holly  phoenix feather",Stag
2,Ronald Bilius Weasley,Male,Human,Pure-blood,Blue,Gryffindor,"12"" Ash unicorn tail hair",Jack Russell terrier
3,Hermione Jean Granger,Female,Human,Muggle-born,Brown,Gryffindor,"10¾""  vine wood dragon heartstring",Otter
4,Albus Percival Wulfric Brian Dumbledore,Male,Human,Half-blood,Blue,Gryffindor,"15"" Elder Thestral tail hair core",Phoenix
5,Rubeus Hagrid,Male,Half-Human/Half-Giant,Part-Human (Half-giant),Black,Gryffindor,None,None
6,Neville Longbottom,Male,Human,Pure-blood,None,Gryffindor,"13"" Cherry unicorn hair",Non-corporeal
7,Fred Weasley,Male,Human,Pure-blood,Brown,Gryffindor,None,None
8,George Weasley,Male,Human,Pure-blood,Brown,Gryffindor,None,None
9,Ginevra Molly Weasley,Female,Human,Pure-blood,Bright brown,Gryffindor,None,Horse
10,Dean Thomas,Male,Human,Muggle-born,Brown,Gryffindor,None,None
11,Seamus Finnigan,Male,Human,Half-blood,None,Gryffindor,None,Fox
12,Lily J. Potter,Female,Human,Muggle-born,Bright green,Gryffindor,None,Doe
13,James Potter,Male,Human,Pure-blood,Hazel,Gryffindor,None,Stag
14,Sirius Black,Male,Human,Pure-blood,Grey,Gryffindor,None,None
15,Remus John Lupin,Male,Werewolf,Half-blood,Green,Gryffindor,"10¼"" Cypress unicorn hair",Wolf
16,Peter Pettigrew,Male,Human,Half-blood or pure-blood,Blue,Gryffindor,"9¼"" Chestnut dragon heartstring",None
17,Percy Ignatius Weasley,Male,Human,Pure-blood,Blue,Gryffindor,None,None
18,William Arthur Weasley,Male,Human,Pure-blood,Blue,Gryffindor,None,None
19,Charles Weasley,Male,Human,Pure-blood,Grey,Gryffindor,"12""  Ash unicorn tail hair",None
20,Lee Jordan,Male,Human,Pure-blood or half-blood,Brown,Gryffindor,None,None
21,Oliver Wood,Male,Human,Pure-blood or Half-blood,None,Gryffindor,None,None
22,Angelina Johnson,Female,Human,None,Brown,Gryffindor,None,None
23,Katie Bell,Female,Human,Pure-blood or half-blood,Brown,Gryffindor,None,None
24,Alicia Spinnet,Female,Human,Pure-blood or half-blood,Brown,Gryffindor,None,None
25,Lavender Brown,Female,Human,Pure-blood,Blue,Gryffindor,None,None
26,Parvati Patil,Female,Human,Pure-blood or half-blood,Dark,Gryffindor,None,None
27,Romilda Vane,Female,Human,Pure-blood or half-blood,Dark,Gryffindor,None,None
28,Colin Creevey,Male,Human,Muggle-born,None,Gryffindor,None,None
29,Cormac McLaggen,Male,Human,Pure-blood or half-blood,None,Gryffindor,None,None
30,Minerva McGonagall,Female,Human,Half-blood,Green,Gryffindor,"9½"" Fir dragon heartstring",Cat
31,Molly Weasley,Female,Human,Pure-blood,Bright brown,Gryffindor,None,None
32,Arthur Weasley,Male,Human,Pure-blood,Green,Gryffindor,None,Weasel
33,Quirinus Quirrell,Male,Human,Half-blood,None,Ravenclaw,"9"" Alder unicorn hair bendy",Non-corporeal
34,Cho Chang,Female,Human,Pure-blood or half-blood,Dark,Ravenclaw,None,Swan
35,Luna Lovegood,Female,Human,Pure-blood or half-blood,Pale silvery,Ravenclaw,None,Hare
36,Gilderoy Lockhart,Male,Human,Half-blood,Blue,Ravenclaw,"9"" Cherry dragon heartstring",Non-corporeal
37,Filius Flitwick,Male,Human,Part-Goblin,None,Ravenclaw,None,Non-corporeal
38,Sybill Patricia Trelawney,Female,Human,Half-blood,None,Ravenclaw,9 ½” hazel unicorn hair core,Non-corporeal
39,Garrick Ollivander,Male,Human,Half-blood,Silvery,Ravenclaw,"12¾"" Hornbeam dragon heartstring",Non-corporeal
40,Myrtle Elizabeth Warren (Moaning Myrtle),Female,Ghost,Muggle-born,None,Ravenclaw,None,None
41,Padma Patil,Female,Human,Pure-blood or half-blood,Dark,Ravenclaw,None,Non-corporeal
42,Michael Corner,Male,Human,Half-blood,Brown,Ravenclaw,None,Squirrel
43,Marietta Edgecombe,Female,Human,Pure-blood or half-blood,Grey,Ravenclaw,None,None
44,Terry Boot,Male,Human,Pure-blood or half-blood,None,Ravenclaw,None,None
45,Anthony Goldstein,Male,Human,Half-blood,Grey,Ravenclaw,None,Non-corporeal
46,Severus Snape,Male,Human,Half-blood,Black,Slytherin,None,Doe
47,Draco Malfoy,Male,Human,Pure-blood,Grey,Slytherin,"10"" Hawthorn unicorn hair",None
48,Vincent Crabbe,Male,Human,Pure-blood,Black,Slytherin,None,None
49,Gregory Goyle,Male,Human,Pure-blood,None,Slytherin,None,None
